1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q1,95355.00,4680.00,88925.00,1249.00,501.00,95355.00,5804.00,0.00,603.00,4128.00,5003.00,42553.00,0.00,18680.00,472.00,2140.00,4524.00,632.00,0.00,3868.00,6948.00
1974:Q2,97221.00,4775.00,90716.00,1227.00,504.00,97221.00,5801.00,0.00,593.00,4213.00,5279.00,43479.00,0.00,18935.00,480.00,2126.00,5108.00,648.00,0.00,3633.00,6926.00
1974:Q3,98933.00,4861.00,92363.00,1196.00,513.00,98933.00,5786.00,0.00,577.00,4466.00,5612.00,44097.00,0.00,19209.00,486.00,2160.00,5682.00,737.00,0.00,3404.00,6717.00
1974:Q4,100049.00,4918.00,93447.00,1163.00,521.00,100049.00,5738.00,0.00,552.00,4781.00,6123.00,44350.00,0.00,19625.00,489.00,2207.00,6169.00,775.00,0.00,2475.00,6765.00
1975:Q1,100586.00,4945.00,93961.00,1159.00,521.00,100586.00,4051.00,2727.00,502.00,5106.00,6289.00,44187.00,0.00,19800.00,551.00,2192.00,6388.00,895.00,0.00,2269.00,5629.00
1975:Q2,100735.00,4955.00,94151.00,1117.00,512.00,100735.00,4253.00,2829.00,464.00,5496.00,6588.00,44614.00,0.00,19764.00,553.00,2203.00,6428.00,852.00,0.00,2135.00,4556.00
1975:Q3,100820.00,4961.00,94261.00,1100.00,498.00,100820.00,4660.00,2898.00,456.00,5780.00,6759.00,44991.00,0.00,19703.00,543.00,2203.00,6407.00,1089.00,0.00,1934.00,3397.00
1975:Q4,100693.00,4956.00,94166.00,1073.00,498.00,100693.00,4756.00,2931.00,472.00,5993.00,6871.00,45254.00,0.00,19629.00,538.00,2359.00,6410.00,1175.00,0.00,1709.00,2596.00
1976:Q1,102169.00,5030.00,95570.00,1051.00,518.00,102169.00,4638.00,3335.00,495.00,6064.00,6733.00,46611.00,0.00,19565.00,538.00,2347.00,6275.00,1446.00,0.00,1813.00,2309.00
1976:Q2,103607.00,5101.00,96918.00,1029.00,559.00,103607.00,4313.00,3688.00,533.00,5975.00,6838.00,48610.00,0.00,19367.00,561.00,2364.00,6279.00,1469.00,0.00,1577.00,2033.00
1976:Q3,104909.00,5166.00,98153.00,997.00,593.00,104909.00,4104.00,4009.00,607.00,6327.00,7001.00,49552.00,0.00,19234.00,566.00,2313.00,6284.00,1558.00,0.00,1586.00,1768.00
1976:Q4,105895.00,5213.00,99040.00,982.00,660.00,105895.00,3894.00,4253.00,715.00,6214.00,7181.00,50681.00,0.00,19178.00,563.00,2328.00,6350.00,1659.00,0.00,1364.00,1515.00
1977:Q1,107142.00,5277.00,100263.00,949.00,653.00,107142.00,3762.00,4657.00,758.00,6254.00,7287.00,51590.00,0.00,18933.00,554.00,2315.00,6351.00,1924.00,0.00,1350.00,1407.00
1977:Q2,109746.00,5410.00,102794.00,919.00,623.00,109746.00,3490.00,5118.00,813.00,6321.00,7288.00,53640.00,0.00,18907.00,580.00,2287.00,6472.00,1987.00,0.00,1544.00,1299.00
1977:Q3,111835.00,5517.00,104820.00,894.00,604.00,111835.00,3396.00,5522.00,899.00,6293.00,7407.00,55345.00,0.00,18851.00,576.00,1998.00,6528.00,2212.00,0.00,1615.00,1193.00
1977:Q4,114279.00,5641.00,107172.00,869.00,597.00,114279.00,3273.00,5930.00,1014.00,6511.00,7469.00,56763.00,0.00,18823.00,552.00,2178.00,6403.00,2584.00,0.00,1691.00,1088.00
1978:Q1,116827.00,5774.00,109712.00,845.00,496.00,116827.00,3017.00,6359.00,1134.00,6859.00,7553.00,58506.00,0.00,18648.00,555.00,2213.00,6370.00,2885.00,0.00,1679.00,1049.00
1978:Q2,120272.00,5946.00,112965.00,818.00,544.00,120272.00,2985.00,6864.00,1262.00,6926.00,7750.00,60458.00,0.00,18688.00,553.00,2444.00,6176.00,3469.00,0.00,1686.00,1011.00
1978:Q3,122681.00,6065.00,115228.00,792.00,596.00,122681.00,2921.00,7261.00,1411.00,7332.00,7631.00,61605.00,0.00,18742.00,539.00,2499.00,6246.00,3736.00,0.00,1795.00,963.00
1978:Q4,125152.00,6187.00,117546.00,772.00,647.00,125152.00,2749.00,7655.00,1581.00,7453.00,7857.00,62245.00,0.00,19000.00,489.00,2738.00,6395.00,4097.00,0.00,1957.00,936.00
1979:Q1,127635.00,6311.00,119912.00,746.00,666.00,127635.00,2653.00,8073.00,1741.00,7663.00,8071.00,63278.00,0.00,19064.00,481.00,2891.00,6460.00,4353.00,0.00,1972.00,935.00
1979:Q2,129903.00,6427.00,122110.00,705.00,661.00,129903.00,2514.00,8539.00,1888.00,7760.00,8390.00,64130.00,0.00,19076.00,473.00,3051.00,6412.00,4686.00,0.00,2050.00,934.00
1979:Q3,132396.00,6553.00,124514.00,680.00,649.00,132396.00,2462.00,8982.00,2004.00,7948.00,8691.00,64790.00,0.00,19064.00,525.00,3253.00,6522.00,4974.00,0.00,2248.00,933.00
1979:Q4,135048.00,6688.00,127063.00,654.00,644.00,135048.00,2289.00,9492.00,2094.00,8570.00,9233.00,65289.00,0.00,19215.00,523.00,3305.00,6583.00,5318.00,0.00,2205.00,932.00
1980:Q1,137027.00,6788.00,128965.00,633.00,641.00,137027.00,2186.00,10112.00,2042.00,9005.00,9496.00,65797.00,0.00,19265.00,462.00,3530.00,6619.00,5397.00,0.00,2205.00,911.00
