1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1298.00,35.00,219.00,35.00,31.00,0.00,0.00,153.00,0.00,1044.00,0.00,1298.00,0.00,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1413.00,36.00,224.00,36.00,43.00,0.00,0.00,145.00,0.00,1153.00,0.00,1413.00,0.00,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1516.00,35.00,255.00,35.00,65.00,0.00,0.00,155.00,0.00,1226.00,0.00,1516.00,0.00,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,39201.00,917.00,6938.00,917.00,2563.00,0.00,0.00,3458.00,0.00,31346.00,0.00,39201.00,0.00,ND,ND,ND,ND,ND
1970:Q3,44172.00,1886.00,6207.00,1886.00,822.00,0.00,0.00,3499.00,0.00,36079.00,0.00,44172.00,0.00,ND,ND,ND,ND,ND
1970:Q4,46812.00,1400.00,5729.00,1400.00,850.00,0.00,0.00,3479.00,0.00,39683.00,0.00,46812.00,0.00,ND,ND,ND,ND,ND
1971:Q1,52687.00,1218.00,5468.00,1218.00,892.00,0.00,0.00,3358.00,0.00,46001.00,0.00,52687.00,0.00,ND,ND,ND,ND,ND
1971:Q2,52961.00,1097.00,5311.00,1097.00,637.00,0.00,0.00,3577.00,0.00,46553.00,0.00,52961.00,0.00,ND,ND,ND,ND,ND
1971:Q3,52214.00,1027.00,4937.00,1027.00,457.00,0.00,0.00,3453.00,0.00,46250.00,0.00,52214.00,0.00,ND,ND,ND,ND,ND
1971:Q4,55446.00,1302.00,5523.00,1302.00,559.00,0.00,0.00,3662.00,0.00,48621.00,0.00,55446.00,0.00,ND,ND,ND,ND,ND
1972:Q1,57548.00,1347.00,5834.00,1347.00,558.00,0.00,0.00,3929.00,0.00,50367.00,0.00,57548.00,0.00,ND,ND,ND,ND,ND
1972:Q2,56656.00,1223.00,5750.00,1223.00,570.00,0.00,0.00,3957.00,0.00,49683.00,0.00,56656.00,0.00,ND,ND,ND,ND,ND
1972:Q3,56209.00,1342.00,6171.00,1342.00,712.00,0.00,0.00,4117.00,0.00,48696.00,0.00,56209.00,0.00,ND,ND,ND,ND,ND
1972:Q4,58926.00,1173.00,6025.00,1173.00,689.00,0.00,0.00,4163.00,0.00,51728.00,0.00,58926.00,0.00,ND,ND,ND,ND,ND
1973:Q1,52843.00,1647.00,6466.00,1647.00,481.00,0.00,0.00,4338.00,0.00,44730.00,0.00,52843.00,0.00,ND,ND,ND,ND,ND
1973:Q2,48013.00,1801.00,6590.00,1801.00,562.00,0.00,0.00,4227.00,0.00,39622.00,0.00,48013.00,0.00,ND,ND,ND,ND,ND
1973:Q3,51927.00,1980.00,6823.00,1980.00,682.00,0.00,0.00,4161.00,0.00,43124.00,0.00,51927.00,0.00,ND,ND,ND,ND,ND
1973:Q4,46635.00,1671.00,6643.00,1671.00,660.00,0.00,0.00,4312.00,0.00,38321.00,0.00,46635.00,0.00,ND,ND,ND,ND,ND
1974:Q1,44521.00,1757.00,7132.00,1757.00,859.00,0.00,0.00,4516.00,0.00,35632.00,0.00,44521.00,0.00,ND,ND,ND,ND,ND
1974:Q2,40662.00,1871.00,7068.00,1871.00,495.00,0.00,0.00,4702.00,0.00,31723.00,0.00,40662.00,0.00,ND,ND,ND,ND,ND
1974:Q3,32320.00,1693.00,7212.00,1693.00,826.00,0.00,0.00,4693.00,0.00,23415.00,0.00,32320.00,0.00,ND,ND,ND,ND,ND
1974:Q4,35152.00,1407.00,7398.00,1407.00,1109.00,0.00,0.00,4882.00,0.00,26347.00,0.00,35152.00,0.00,ND,ND,ND,ND,ND
