1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q2,13344376.00,4422974.00,3081681.00,946409.00,3912161.00,2792910.00,3879588.00,1129654.00,3707391.00,485698.00
1994:Q3,13519949.00,4497893.00,3118152.00,980405.00,3963167.00,2838188.00,3930823.00,1128066.00,3804846.00,486719.00
1994:Q4,13701942.00,4600087.00,3165543.00,1021168.00,4016534.00,2887244.00,3977825.00,1107497.00,3932745.00,500437.00
1995:Q1,13865906.00,4672909.00,3203318.00,1058385.00,4086236.00,2945565.00,4014760.00,1092002.00,4021047.00,515929.00
1995:Q2,14109863.00,4754038.00,3244071.00,1095019.00,4160670.00,3011176.00,4117882.00,1077272.00,4125029.00,531123.00
1995:Q3,14271517.00,4850588.00,3285125.00,1133141.00,4208114.00,3045407.00,4149242.00,1063573.00,4247386.00,553925.00
1995:Q4,14382789.00,4923143.00,3319182.00,1168160.00,4269835.00,3095195.00,4143079.00,1046732.00,4399423.00,630708.00
1996:Q1,14612523.00,5040367.00,3395741.00,1197356.00,4315514.00,3125373.00,4215265.00,1041378.00,4512163.00,644698.00
1996:Q2,14832204.00,5125755.00,3448496.00,1224879.00,4388682.00,3181250.00,4279858.00,1037909.00,4672280.00,660367.00
1996:Q3,15007269.00,5199951.00,3489511.00,1247457.00,4450654.00,3223201.00,4327646.00,1029017.00,4777123.00,688358.00
1996:Q4,15136032.00,5276768.00,3537293.00,1273878.00,4489992.00,3244910.00,4343083.00,1026189.00,4970164.00,720897.00
1997:Q1,15333854.00,5367859.00,3596938.00,1284329.00,4564770.00,3296769.00,4369736.00,1031489.00,5056966.00,731637.00
1997:Q2,15543123.00,5452934.00,3642626.00,1302783.00,4655288.00,3363693.00,4395842.00,1039059.00,5241049.00,754864.00
1997:Q3,15793953.00,5543261.00,3714715.00,1321301.00,4777469.00,3459899.00,4415850.00,1057373.00,5354985.00,784400.00
1997:Q4,15974088.00,5620392.00,3753196.00,1344165.00,4870258.00,3523248.00,4406492.00,1076946.00,5553484.00,801660.00
1998:Q1,16244938.00,5731525.00,3833368.00,1352528.00,5013176.00,3624008.00,4407670.00,1092568.00,5811264.00,827029.00
1998:Q2,16568129.00,5856573.00,3900466.00,1393784.00,5165824.00,3729376.00,4435299.00,1110433.00,6088611.00,852087.00
1998:Q3,16763809.00,5935761.00,3960842.00,1417348.00,5296312.00,3815545.00,4405501.00,1126235.00,6382476.00,844251.00
1998:Q4,17021868.00,6054221.00,4054655.00,1441272.00,5428808.00,3902781.00,4395086.00,1143753.00,6650504.00,842394.00
1999:Q1,17324274.00,6192383.00,4159484.00,1471714.00,5592396.00,4019067.00,4380185.00,1159310.00,6949620.00,843587.00
1999:Q2,17568666.00,6325561.00,4244463.00,1500711.00,5699675.00,4090369.00,4378872.00,1164558.00,7212430.00,839162.00
1999:Q3,17905320.00,6463916.00,4347018.00,1533015.00,5906114.00,4244112.00,4356927.00,1178363.00,7497071.00,854101.00
1999:Q4,18180059.00,6603194.00,4431564.00,1553622.00,6030856.00,4311016.00,4365000.00,1181009.00,7763764.00,803857.00
2000:Q1,18486205.00,6789064.00,4521434.00,1584412.00,6196657.00,4430330.00,4314730.00,1185755.00,7979506.00,826631.00
2000:Q2,18679402.00,6920302.00,4617498.00,1632955.00,6365264.00,4539937.00,4214690.00,1179146.00,8188589.00,811585.00
2000:Q3,18894193.00,7091515.00,4717399.00,1692853.00,6468857.00,4605914.00,4143885.00,1189936.00,8401373.00,836511.00
2000:Q4,19064720.00,7194685.00,4813874.00,1741267.00,6582118.00,4669859.00,4090025.00,1197892.00,8674121.00,867648.00
2001:Q1,19285590.00,7305396.00,4927434.00,1784759.00,6627732.00,4675359.00,4122911.00,1229551.00,8948450.00,880980.00
2001:Q2,19500451.00,7486820.00,5071112.00,1816504.00,6734994.00,4739696.00,4030300.00,1248336.00,9107359.00,861149.00
2001:Q3,19904075.00,7726483.00,5214394.00,1838308.00,6809861.00,4777166.00,4096886.00,1270846.00,9469084.00,835315.00
2001:Q4,20150587.00,7822047.00,5322036.00,1891827.00,6879952.00,4804213.00,4145237.00,1303350.00,9688228.00,849388.00
2002:Q1,20438235.00,8009608.00,5485949.00,1918895.00,6942819.00,4828411.00,4156460.00,1329349.00,9885891.00,865903.00
2002:Q2,20755117.00,8157710.00,5628918.00,1951616.00,6972591.00,4819928.00,4260360.00,1364455.00,10056337.00,890395.00
2002:Q3,21099525.00,8341864.00,5816738.00,1975317.00,6998493.00,4808669.00,4357679.00,1401488.00,10255401.00,888881.00
2002:Q4,21503195.00,8585976.00,6028047.00,1997008.00,7041990.00,4814381.00,4427328.00,1447900.00,10530797.00,955731.00
2003:Q1,21789608.00,8820589.00,6207295.00,2026273.00,7070530.00,4822255.00,4423583.00,1474906.00,10824950.00,938246.00
2003:Q2,22403929.00,9164219.00,6436474.00,2058502.00,7082162.00,4817446.00,4638594.00,1518954.00,11138302.00,954953.00
2003:Q3,22831138.00,9407837.00,6673651.00,2082493.00,7127942.00,4846387.00,4752624.00,1542735.00,11397420.00,925860.00
2003:Q4,23198388.00,9654970.00,6909820.00,2102932.00,7126947.00,4825439.00,4848035.00,1568435.00,11537252.00,1156570.00
