1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,1113.00,0.00,0.00,1113.00,1113.00,0.00,0.00,0.00,0.00,0.00,0.00,1113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1113.00,0.00,0.00,1113.00
1968:Q3,1171.00,0.00,0.00,1171.00,1171.00,0.00,0.00,0.00,0.00,0.00,0.00,1171.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1171.00,0.00,0.00,1171.00
1968:Q4,1022.00,0.00,0.00,1022.00,1022.00,0.00,0.00,0.00,0.00,0.00,0.00,1022.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1022.00,0.00,0.00,1022.00
1969:Q1,1380.00,0.00,0.00,1380.00,1380.00,0.00,0.00,0.00,0.00,0.00,0.00,1380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1380.00,0.00,0.00,1380.00
1969:Q2,1489.00,0.00,0.00,1489.00,1489.00,0.00,0.00,0.00,0.00,0.00,0.00,1489.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1489.00,0.00,0.00,1489.00
1969:Q3,1691.00,0.00,0.00,1691.00,1691.00,0.00,0.00,0.00,0.00,0.00,0.00,1691.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1691.00,0.00,0.00,1691.00
1969:Q4,1585.00,0.00,0.00,1585.00,1585.00,0.00,0.00,0.00,0.00,0.00,0.00,1585.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1585.00,0.00,0.00,1585.00
1970:Q1,1785.00,0.00,0.00,1785.00,1785.00,0.00,0.00,0.00,0.00,0.00,0.00,1785.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1785.00,0.00,0.00,1785.00
1970:Q2,916.00,0.00,0.00,916.00,916.00,0.00,0.00,0.00,0.00,0.00,0.00,916.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,916.00,0.00,0.00,916.00
1970:Q3,1885.00,0.00,0.00,1885.00,1885.00,0.00,0.00,0.00,0.00,0.00,0.00,1885.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1885.00,0.00,0.00,1885.00
