date,FL413065005.Q,FL413065105.Q,FL413065405.Q,FL413065505.Q,FL413065605.Q,FL413065005.Q
1945:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,7.00,0.00,0.00,0.00,7.00,7.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,32.00,0.00,0.00,0.00,32.00,32.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
2006:Q1,3627218.00,3527445.00,98475.00,0.00,1298.00,3627218.00
2006:Q2,3691812.00,3594720.00,95279.00,0.00,1813.00,3691812.00
2006:Q3,3768725.00,3673577.00,92041.00,0.00,3107.00,3768725.00
2006:Q4,3841119.00,3749120.00,88816.00,0.00,3183.00,3841119.00
2007:Q1,3956458.00,3866021.00,87035.00,0.00,3402.00,3956458.00
2007:Q2,4077824.00,3987383.00,85762.00,0.00,4679.00,4077824.00
2007:Q3,4252616.00,4162092.00,85906.00,0.00,4618.00,4252616.00
2007:Q4,4464418.00,4371759.00,88116.00,0.00,4543.00,4464418.00
2008:Q1,4602238.00,4509951.00,87834.00,0.00,4453.00,4602238.00
2008:Q2,4760244.00,4665549.00,90388.00,0.00,4307.00,4760244.00
2008:Q3,4892653.00,4799492.00,88438.00,0.00,4723.00,4892653.00
2008:Q4,4961428.00,4863990.00,92765.00,0.00,4673.00,4961428.00
2009:Q1,5041969.00,4943534.00,93818.00,0.00,4617.00,5041969.00
2009:Q2,5170747.00,5068631.00,97547.00,0.00,4569.00,5170747.00
2009:Q3,5297548.00,5192139.00,100905.00,0.00,4504.00,5297548.00
2009:Q4,5376709.00,5266500.00,105723.00,0.00,4486.00,5376709.00
2010:Q1,987799.00,926934.00,57518.00,0.00,3347.00,987799.00
