date,FL153050005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL153050005.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1945:Q4,57011.00,2700.00,20697.00,24055.00,9559.00,57011.00,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,64505.00,3100.00,22077.00,28162.00,11166.00,64505.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,71873.00,3600.00,23594.00,31565.00,13114.00,71873.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,79319.00,4200.00,24957.00,35122.00,15040.00,79319.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q3,1310417.00,116692.00,412460.00,551558.00,229707.00,1310417.00,ND,ND,ND,ND,ND,ND,ND
1978:Q4,1338408.00,121630.00,418723.00,562307.00,235748.00,1338408.00,ND,ND,ND,ND,ND,ND,ND
1979:Q1,1372785.00,126736.00,430987.00,572829.00,242233.00,1372785.00,ND,ND,ND,ND,ND,ND,ND
1979:Q2,1402700.00,131964.00,438288.00,583485.00,248963.00,1402700.00,ND,ND,ND,ND,ND,ND,ND
1979:Q3,1438115.00,137504.00,450434.00,594283.00,255894.00,1438115.00,ND,ND,ND,ND,ND,ND,ND
1979:Q4,1482128.00,143546.00,467156.00,605130.00,266296.00,1482128.00,ND,ND,ND,ND,ND,ND,ND
1980:Q1,1516561.00,150151.00,480601.00,615920.00,269889.00,1516561.00,ND,ND,ND,ND,ND,ND,ND
1980:Q2,1569834.00,157384.00,512096.00,626797.00,273557.00,1569834.00,ND,ND,ND,ND,ND,ND,ND
1980:Q3,1624890.00,164801.00,544499.00,637898.00,277692.00,1624890.00,ND,ND,ND,ND,ND,ND,ND
1980:Q4,1674445.00,171960.00,571432.00,649110.00,281943.00,1674445.00,ND,ND,ND,ND,ND,ND,ND
1981:Q1,1719423.00,178243.00,590849.00,660134.00,290197.00,1719423.00,ND,ND,ND,ND,ND,ND,ND
1981:Q2,1759711.00,183634.00,606133.00,671425.00,298519.00,1759711.00,ND,ND,ND,ND,ND,ND,ND
1981:Q3,1794793.00,189900.00,615291.00,683010.00,306592.00,1794793.00,ND,ND,ND,ND,ND,ND,ND
1981:Q4,1841683.00,199792.00,631519.00,694775.00,315597.00,1841683.00,ND,ND,ND,ND,ND,ND,ND
1982:Q1,1884668.00,209369.00,644158.00,706535.00,324606.00,1884668.00,ND,ND,ND,ND,ND,ND,ND
1982:Q2,1933328.00,220367.00,660256.00,718557.00,334148.00,1933328.00,ND,ND,ND,ND,ND,ND,ND
1982:Q3,2001332.00,233354.00,692625.00,730790.00,344563.00,2001332.00,ND,ND,ND,ND,ND,ND,ND
1982:Q4,2062168.00,242900.00,720443.00,743061.00,355764.00,2062168.00,ND,ND,ND,ND,ND,ND,ND
1983:Q1,2132996.00,252335.00,762165.00,755018.00,363478.00,2132996.00,ND,ND,ND,ND,ND,ND,ND
1983:Q2,2215651.00,265284.00,811447.00,767251.00,371669.00,2215651.00,ND,ND,ND,ND,ND,ND,ND
1983:Q3,2270813.00,272354.00,839127.00,779902.00,379430.00,2270813.00,ND,ND,ND,ND,ND,ND,ND
1983:Q4,2325818.00,281650.00,863921.00,792965.00,387282.00,2325818.00,ND,ND,ND,ND,ND,ND,ND
1984:Q1,2386563.00,287889.00,896874.00,805816.00,395984.00,2386563.00,ND,ND,ND,ND,ND,ND,ND
1984:Q2,2431294.00,295754.00,912081.00,819068.00,404391.00,2431294.00,ND,ND,ND,ND,ND,ND,ND
1984:Q3,2509172.00,310503.00,951873.00,832753.00,414043.00,2509172.00,ND,ND,ND,ND,ND,ND,ND
1984:Q4,2583417.00,328343.00,985048.00,846582.00,423444.00,2583417.00,ND,ND,ND,ND,ND,ND,ND
1985:Q1,2675022.00,340677.00,1039940.00,860737.00,433668.00,2675022.00,ND,ND,ND,ND,ND,ND,ND
1985:Q2,2739032.00,356665.00,1063099.00,875156.00,444112.00,2739032.00,ND,ND,ND,ND,ND,ND,ND
1985:Q3,2785726.00,363585.00,1078140.00,889935.00,454066.00,2785726.00,ND,ND,ND,ND,ND,ND,ND
1985:Q4,2847102.00,260441.00,1215574.00,905008.00,466079.00,2847102.00,ND,ND,ND,ND,ND,ND,ND
1986:Q1,2932177.00,273503.00,1257137.00,921831.00,479706.00,2932177.00,ND,ND,ND,ND,ND,ND,ND
