1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q3,7112487.00,2471441.00,4641046.00,999020.00,276893.00,56093.00,786229.00,707098.00,79131.00,11069.00,34586.00,0.00,0.00,33476.00,2522810.00,824919.00,6287568.00,11.05,16.94
1976:Q4,7303657.00,2543109.00,4760548.00,1026178.00,278960.00,60263.00,811698.00,731164.00,80534.00,12179.00,35140.00,0.00,0.00,33215.00,2583449.00,853021.00,6450636.00,11.11,17.05
1977:Q1,7431398.00,2630011.00,4801387.00,1060554.00,288181.00,55059.00,747401.00,673643.00,73758.00,11512.00,33238.00,0.00,0.00,29008.00,2650193.00,869833.00,6561565.00,10.06,15.57
1977:Q2,7654760.00,2742964.00,4911796.00,1084846.00,289229.00,56724.00,768317.00,691483.00,76834.00,11881.00,34491.00,0.00,0.00,30462.00,2712680.00,908466.00,6746294.00,10.04,15.64
1977:Q3,7830945.00,2839331.00,4991614.00,1118383.00,293375.00,55013.00,735376.00,661389.00,73987.00,11506.00,33733.00,0.00,0.00,28748.00,2789467.00,946550.00,6884395.00,9.39,14.73
1977:Q4,8028661.00,2947307.00,5081354.00,1142469.00,303381.00,60722.00,704789.00,630970.00,73819.00,10940.00,34611.00,0.00,0.00,28268.00,2869993.00,984299.00,7044362.00,8.78,13.87
1978:Q1,8219675.00,3042454.00,5177221.00,1173350.00,311345.00,58327.00,664056.00,593085.00,70971.00,10565.00,34181.00,0.00,0.00,26225.00,2970143.00,1007196.00,7212479.00,8.08,12.83
1978:Q2,8525954.00,3172608.00,5353346.00,1202905.00,319383.00,62616.00,709443.00,631131.00,78312.00,11524.00,38367.00,0.00,0.00,28421.00,3058999.00,1057457.00,7468497.00,8.32,13.25
1978:Q3,8820944.00,3288658.00,5532286.00,1235475.00,326612.00,66687.00,758829.00,671927.00,86902.00,12586.00,43231.00,0.00,0.00,31085.00,3144684.00,1104827.00,7716117.00,8.60,13.72
1978:Q4,9044602.00,3408005.00,5636597.00,1257951.00,346599.00,73592.00,721923.00,640129.00,81794.00,11466.00,42086.00,0.00,0.00,28242.00,3236532.00,1146972.00,7897630.00,7.98,12.81
