1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q4,136320.00,0.00,13110.00,1182.00,0.00,28158.00,6158.00,6499.00,2763.00,12738.00,0.00,52631.00,3013.00,38226.00,0.00,0.00,38226.00,136320.00
1980:Q1,133006.00,0.00,13550.00,1500.00,0.00,29895.00,6648.00,6801.00,2935.00,13511.00,0.00,45560.00,3158.00,39343.00,0.00,0.00,39343.00,133006.00
1980:Q2,143351.00,0.00,13959.00,1845.00,0.00,31917.00,7068.00,7347.00,3306.00,14196.00,0.00,52160.00,3308.00,40162.00,0.00,0.00,40162.00,143351.00
1980:Q3,152923.00,0.00,14344.00,2195.00,0.00,33708.00,7460.00,7642.00,3618.00,14988.00,0.00,57506.00,3697.00,41473.00,0.00,0.00,41473.00,152923.00
1980:Q4,158812.00,0.00,14959.00,2633.00,0.00,35447.00,7812.00,8054.00,4036.00,15545.00,0.00,61036.00,4035.00,40702.00,0.00,0.00,40702.00,158812.00
1981:Q1,161211.00,0.00,15474.00,3244.00,0.00,36855.00,8114.00,8338.00,4467.00,15936.00,0.00,61535.00,4239.00,39864.00,0.00,0.00,39864.00,161211.00
1981:Q2,163291.00,0.00,15852.00,4134.00,0.00,38554.00,8715.00,8636.00,5044.00,16159.00,0.00,60011.00,4273.00,40467.00,0.00,0.00,40467.00,163291.00
1981:Q3,162215.00,0.00,16431.00,5413.00,0.00,40076.00,9291.00,8689.00,5657.00,16439.00,0.00,54936.00,3883.00,41476.00,0.00,0.00,41476.00,162215.00
1981:Q4,169597.00,0.00,17144.00,6564.00,0.00,42583.00,9802.00,11671.00,4444.00,16666.00,0.00,59259.00,4226.00,39821.00,0.00,0.00,39821.00,169597.00
1982:Q1,173171.00,0.00,18605.00,7030.00,0.00,45367.00,8790.00,14009.00,5258.00,17310.00,0.00,61371.00,3998.00,36800.00,0.00,0.00,36800.00,173171.00
1982:Q2,177923.00,0.00,20226.00,6030.00,0.00,47609.00,8243.00,15510.00,6068.00,17788.00,0.00,62821.00,4022.00,37215.00,0.00,0.00,37215.00,177923.00
1982:Q3,194838.00,0.00,21689.00,5071.00,0.00,49138.00,7120.00,16976.00,6533.00,18509.00,0.00,73377.00,4512.00,41051.00,0.00,0.00,41051.00,194838.00
1982:Q4,202201.00,0.00,23226.00,4688.00,0.00,50958.00,6081.00,18793.00,7039.00,19045.00,0.00,76841.00,5405.00,41083.00,0.00,0.00,41083.00,202201.00
1983:Q1,219579.00,0.00,25141.00,4877.00,0.00,52783.00,5697.00,19932.00,7310.00,19844.00,0.00,86991.00,6054.00,43733.00,0.00,0.00,43733.00,219579.00
1983:Q2,241933.00,0.00,27753.00,5228.00,0.00,54592.00,6121.00,20763.00,7577.00,20131.00,0.00,98556.00,6779.00,49025.00,0.00,0.00,49025.00,241933.00
1983:Q3,243541.00,0.00,27834.00,5602.00,0.00,58205.00,6799.00,22276.00,8134.00,20996.00,0.00,96146.00,6869.00,48885.00,0.00,0.00,48885.00,243541.00
1983:Q4,246783.00,0.00,28610.00,5929.00,0.00,60377.00,6899.00,23333.00,8556.00,21589.00,0.00,94877.00,6980.00,50010.00,0.00,0.00,50010.00,246783.00
1984:Q1,251991.00,0.00,28279.00,6191.00,0.00,62085.00,7832.00,23756.00,8646.00,21851.00,0.00,100500.00,7016.00,47920.00,0.00,0.00,47920.00,251991.00
1984:Q2,244787.00,0.00,28209.00,6388.00,0.00,61250.00,8845.00,23031.00,8451.00,20923.00,0.00,95511.00,6758.00,46671.00,0.00,0.00,46671.00,244787.00
1984:Q3,265048.00,0.00,30491.00,6770.00,0.00,65224.00,8868.00,24691.00,9108.00,22557.00,0.00,105279.00,7398.00,49886.00,0.00,0.00,49886.00,265048.00
1984:Q4,278883.00,0.00,31972.00,6938.00,0.00,69441.00,7844.00,27101.00,9816.00,24680.00,0.00,111753.00,7619.00,51160.00,0.00,0.00,51160.00,278883.00
1985:Q1,313158.00,0.00,34402.00,7429.00,0.00,69602.00,7732.00,28038.00,10189.00,23643.00,0.00,138787.00,8293.00,54645.00,0.00,0.00,54645.00,313158.00
1985:Q2,313929.00,0.00,37410.00,8015.00,0.00,70796.00,7694.00,29860.00,10994.00,22248.00,0.00,130498.00,8820.00,58390.00,0.00,0.00,58390.00,313929.00
1985:Q3,305700.00,0.00,37047.00,8239.00,0.00,71666.00,7937.00,30743.00,11451.00,21535.00,0.00,123838.00,8603.00,56307.00,0.00,0.00,56307.00,305700.00
