1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q3,18779.00,5567.00,4377.00,-2175.00,826.00,-390.00,-273.00,-167.00,50.00,-2698.00,0.00,8814.00,14169.00,0.00,0.00,13627.00,-19220.00,408.00,-170.00,-16671.00,557.00,6339.00,-3295.00,9634.00,-41.00,-7055.00,-16471.00,-16159.00,-312.00,-7836.00
1999:Q4,20202.00,5649.00,31690.00,97.00,1626.00,9615.00,7892.00,1389.00,334.00,1044.00,0.00,19308.00,-5274.00,0.00,0.00,31619.00,-29788.00,13720.00,9031.00,10410.00,2268.00,7469.00,8928.00,-1459.00,4674.00,-2796.00,-1205.00,-13867.00,12662.00,-6728.00
2000:Q1,15402.00,5036.00,2546.00,-146.00,-2122.00,-9837.00,-7851.00,-607.00,-1379.00,-716.00,0.00,15367.00,14647.00,0.00,0.00,20506.00,-16113.00,-5629.00,1956.00,-14159.00,-1913.00,2074.00,-3725.00,5799.00,2335.00,-7067.00,-9588.00,-410.00,-9178.00,-6339.00
2000:Q2,15140.00,5235.00,19816.00,241.00,-515.00,-1281.00,147.00,219.00,-1647.00,2146.00,0.00,19225.00,16226.00,0.00,0.00,-6821.00,8333.00,-1358.00,2845.00,4249.00,-54.00,7919.00,1678.00,6241.00,1494.00,-4525.00,-585.00,-3617.00,3032.00,-5662.00
2000:Q3,15236.00,5330.00,46869.00,-243.00,-92.00,564.00,31.00,112.00,421.00,-2247.00,0.00,48887.00,44042.00,0.00,0.00,7201.00,5299.00,-27447.00,19792.00,34452.00,-203.00,7570.00,1690.00,5880.00,-3756.00,-1683.00,32524.00,13159.00,19365.00,-2511.00
2000:Q4,19304.00,5412.00,35285.00,65.00,2850.00,-685.00,-265.00,-272.00,-148.00,-117.00,0.00,33172.00,19887.00,0.00,0.00,4371.00,5050.00,1897.00,1967.00,18050.00,664.00,5663.00,1582.00,4081.00,4437.00,-3274.00,10560.00,7618.00,2942.00,-3343.00
2001:Q1,17103.00,5132.00,68603.00,99.00,-1960.00,736.00,-70.00,606.00,200.00,1077.00,0.00,68651.00,5983.00,0.00,13.00,18474.00,20273.00,4412.00,19496.00,52307.00,-204.00,24027.00,7635.00,16392.00,222.00,-2844.00,31106.00,20419.00,10687.00,-4325.00
2001:Q2,16224.00,5036.00,33681.00,715.00,-17.00,-632.00,164.00,-343.00,-453.00,-59.00,0.00,33674.00,10076.00,0.00,25.00,2575.00,7593.00,-3064.00,16469.00,19857.00,99.00,2472.00,-697.00,3169.00,-6232.00,-3333.00,26851.00,7062.00,19789.00,-2637.00
2001:Q3,16761.00,4952.00,35735.00,-454.00,192.00,-323.00,-85.00,-64.00,-174.00,-23.00,0.00,36343.00,42255.00,0.00,-34.00,2147.00,-3103.00,-13076.00,8154.00,18426.00,378.00,3716.00,-250.00,3966.00,6606.00,-5631.00,13357.00,7714.00,5643.00,-5500.00
2001:Q4,24203.00,4773.00,-5853.00,-212.00,902.00,4091.00,356.00,1211.00,2524.00,-697.00,0.00,-9937.00,2030.00,0.00,-1371.00,12544.00,-40570.00,8411.00,9019.00,-31109.00,-1239.00,-6635.00,-11801.00,5166.00,-6858.00,-3499.00,-12878.00,-23098.00,10220.00,-5826.00
2002:Q1,25324.00,6145.00,21364.00,398.00,-2158.00,2863.00,75.00,4008.00,-1220.00,142.00,0.00,20119.00,23839.00,0.00,-524.00,-17076.00,14160.00,-12167.00,11887.00,-8022.00,45.00,2877.00,5855.00,-2978.00,2133.00,-1150.00,-11927.00,-13596.00,1669.00,-10207.00
2002:Q2,20829.00,6132.00,44151.00,258.00,1311.00,492.00,456.00,1257.00,-1221.00,-10.00,0.00,42100.00,14531.00,0.00,1988.00,7601.00,-16399.00,3074.00,31305.00,20796.00,1336.00,-4795.00,-13014.00,8219.00,-1198.00,-5536.00,30989.00,2820.00,28169.00,-8658.00
2002:Q3,21051.00,6187.00,12852.00,153.00,-1195.00,-446.00,-324.00,-583.00,461.00,38.00,0.00,14302.00,28658.00,0.00,992.00,10139.00,-19621.00,-4641.00,-1225.00,-8054.00,-949.00,7661.00,3145.00,4516.00,-2884.00,-6408.00,-5474.00,-4073.00,-1401.00,-6042.00
2002:Q4,21459.00,6053.00,45891.00,173.00,1406.00,-713.00,-119.00,-166.00,-428.00,753.00,0.00,44272.00,-491.00,0.00,1498.00,15490.00,-689.00,13128.00,15336.00,28035.00,1315.00,14541.00,1718.00,12823.00,1271.00,-2265.00,13173.00,1729.00,11444.00,-2450.00
2003:Q1,19012.00,5592.00,53994.00,-512.00,1148.00,5455.00,37.00,707.00,4711.00,-265.00,0.00,48168.00,-16837.00,0.00,667.00,-665.00,6789.00,39872.00,18342.00,37558.00,6144.00,16413.00,-3756.00,20169.00,-1728.00,-1557.00,18286.00,7252.00,11034.00,-3016.00
2003:Q2,23176.00,5689.00,67264.00,380.00,1114.00,5869.00,1033.00,-521.00,5357.00,4051.00,0.00,55850.00,13600.00,0.00,1588.00,19489.00,-507.00,3264.00,18416.00,50788.00,3716.00,-142.00,-4973.00,4831.00,13112.00,-58.00,34160.00,10634.00,23526.00,1010.00
2003:Q3,19947.00,5899.00,13064.00,-293.00,-1097.00,-6710.00,628.00,1297.00,-8635.00,183.00,0.00,20981.00,2034.00,0.00,359.00,-1994.00,12189.00,263.00,8130.00,-6344.00,-7688.00,2184.00,1317.00,867.00,1741.00,-2651.00,70.00,-7940.00,8010.00,-5360.00
2003:Q4,27114.00,6019.00,39391.00,345.00,-620.00,-953.00,-264.00,-568.00,-121.00,1015.00,0.00,39604.00,21045.00,0.00,1207.00,3952.00,1212.00,735.00,11453.00,13931.00,-716.00,16956.00,1387.00,15569.00,2364.00,-5339.00,666.00,-7107.00,7773.00,-4365.00
