1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q2,819068.00,115547.00,115547.00,0.00,0.00,0.00,703521.00,819068.00,819068.00,115547.00,703521.00,819068.00,0.00
1984:Q3,832753.00,128964.00,128964.00,0.00,0.00,0.00,703789.00,832753.00,832753.00,128964.00,703789.00,832753.00,0.00
1984:Q4,846582.00,132262.00,132262.00,0.00,0.00,0.00,714320.00,846582.00,846582.00,132262.00,714320.00,846582.00,0.00
1985:Q1,860737.00,140863.00,140863.00,0.00,0.00,0.00,719874.00,860737.00,860737.00,140863.00,719874.00,860737.00,0.00
1985:Q2,875156.00,144839.00,144839.00,0.00,0.00,0.00,730317.00,875156.00,875156.00,144839.00,730317.00,875156.00,0.00
1985:Q3,889935.00,158741.00,158741.00,0.00,0.00,0.00,731194.00,889935.00,889935.00,158741.00,731194.00,889935.00,0.00
1985:Q4,905008.00,172130.00,172130.00,0.00,0.00,0.00,732878.00,905008.00,905008.00,172130.00,732878.00,905008.00,0.00
1986:Q1,921831.00,169702.00,169702.00,0.00,0.00,0.00,752129.00,921831.00,921831.00,169702.00,752129.00,921831.00,0.00
1986:Q2,939028.00,175169.00,175169.00,0.00,0.00,0.00,763859.00,939028.00,939028.00,175169.00,763859.00,939028.00,0.00
1986:Q3,956435.00,186641.00,186641.00,0.00,0.00,0.00,769794.00,956435.00,956435.00,186641.00,769794.00,956435.00,0.00
1986:Q4,973708.00,201682.00,201682.00,0.00,0.00,0.00,772026.00,973708.00,973708.00,201682.00,772026.00,973708.00,0.00
1987:Q1,988780.00,198583.00,198583.00,0.00,0.00,0.00,790197.00,988780.00,988780.00,198583.00,790197.00,988780.00,0.00
1987:Q2,1004218.00,204634.00,204634.00,0.00,0.00,0.00,799584.00,1004218.00,1003828.00,204244.00,799584.00,1003828.00,390.00
1987:Q3,1019685.00,218568.00,218568.00,0.00,0.00,0.00,801117.00,1019685.00,1018958.00,217841.00,801117.00,1018958.00,727.00
1987:Q4,1035227.00,233036.00,233036.00,0.00,0.00,0.00,802191.00,1035227.00,1034141.00,231950.00,802191.00,1034141.00,1086.00
