1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q4,13.00,18.00,43583.00,31.00,5640.00,27.00,363.00,24290.00,1899.00,4791.00,10941.00,6659.00,117.00,-34370.00,5086.00,42399.00,25102.00,1167.00,17704.00,-1574.00,43587.00,15356.00,28227.00
2004:Q1,14.00,43.00,33429.00,9.00,-2175.00,-108.00,234.00,753.00,-160.00,-3021.00,764.00,3170.00,-67.00,7796.00,23793.00,3194.00,-7512.00,-2277.00,13076.00,-93.00,33458.00,14239.00,19190.00
2004:Q2,14.00,44.00,39140.00,28.00,-8556.00,212.00,543.00,1834.00,58.00,963.00,3900.00,-3087.00,-45.00,-14732.00,25873.00,33983.00,3734.00,3400.00,20936.00,5913.00,39170.00,13615.00,25525.00
2004:Q3,14.00,46.00,56938.00,32.00,1886.00,267.00,252.00,-2319.00,202.00,-2240.00,3851.00,-4132.00,67.00,23915.00,18132.00,14706.00,-9955.00,-2983.00,30399.00,-2755.00,56969.00,13871.00,43067.00
2004:Q4,15.00,47.00,61248.00,37.00,4195.00,183.00,-477.00,-2095.00,-279.00,-586.00,2331.00,-3561.00,-174.00,1283.00,19823.00,38473.00,19169.00,-1256.00,19923.00,637.00,61280.00,14719.00,46529.00
2005:Q1,14.00,35.00,34403.00,43.00,-1572.00,383.00,890.00,6864.00,625.00,1342.00,2563.00,2334.00,-87.00,-15933.00,20390.00,23425.00,-618.00,-1151.00,26477.00,-1283.00,34424.00,15500.00,18903.00
2005:Q2,14.00,36.00,40998.00,46.00,3651.00,343.00,-7.00,8061.00,45.00,879.00,278.00,6859.00,-21.00,-14116.00,18252.00,24789.00,-152.00,-1591.00,28629.00,-2097.00,41020.00,16550.00,24448.00
2005:Q3,15.00,37.00,45560.00,77.00,3546.00,665.00,11.00,11769.00,89.00,1348.00,3854.00,6478.00,-28.00,-9705.00,15288.00,23937.00,3457.00,2320.00,20633.00,-2473.00,45582.00,16947.00,28613.00
2005:Q4,15.00,39.00,41170.00,86.00,399.00,747.00,174.00,17194.00,208.00,-374.00,12273.00,5087.00,-81.00,-15280.00,18386.00,19545.00,4227.00,-1463.00,17311.00,-530.00,41194.00,16428.00,24742.00
2006:Q1,12.00,20.00,43212.00,109.00,-717.00,979.00,357.00,2557.00,353.00,391.00,-313.00,2126.00,-55.00,-8262.00,13017.00,35227.00,-2623.00,-512.00,41269.00,-2907.00,43220.00,15256.00,27956.00
2006:Q2,12.00,21.00,39088.00,100.00,545.00,1162.00,204.00,14087.00,264.00,1146.00,3367.00,9310.00,-87.00,-21029.00,20387.00,23719.00,-4739.00,-490.00,31324.00,-2376.00,39097.00,14678.00,24410.00
2006:Q3,12.00,22.00,50007.00,108.00,634.00,1159.00,224.00,28110.00,165.00,8057.00,6268.00,13620.00,-81.00,-34297.00,17876.00,36274.00,-2969.00,-485.00,35008.00,4720.00,50017.00,14562.00,35445.00
2006:Q4,13.00,23.00,47557.00,110.00,641.00,1097.00,227.00,13394.00,167.00,5067.00,6515.00,1645.00,-80.00,-39639.00,23769.00,48038.00,-2073.00,-480.00,40803.00,9788.00,47567.00,14830.00,32727.00
2007:Q1,10.00,25.00,33767.00,303.00,907.00,1940.00,59.00,7024.00,1099.00,-44.00,746.00,5223.00,555.00,-2544.00,11230.00,14293.00,4957.00,1134.00,150.00,8052.00,33782.00,14997.00,18770.00
2007:Q2,10.00,27.00,38825.00,303.00,907.00,2011.00,60.00,7025.00,1099.00,-46.00,748.00,5224.00,554.00,-2544.00,12608.00,17901.00,7990.00,1136.00,724.00,8051.00,38841.00,15573.00,23252.00
2007:Q3,11.00,28.00,35102.00,303.00,907.00,2094.00,60.00,7024.00,1098.00,-44.00,746.00,5224.00,554.00,-2544.00,11281.00,15423.00,5318.00,1135.00,919.00,8051.00,35119.00,15766.00,19336.00
