1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q4,119968.00,58768.00,18616.00,14900.00,46340.00,33097.00,2328.00,12532.00,21316.00,2904.00
1969:Q1,77392.00,12988.00,18472.00,12620.00,43872.00,32715.00,4492.00,16040.00,-6872.00,3228.00
1969:Q2,60348.00,22304.00,17072.00,11760.00,56732.00,38053.00,-31868.00,13180.00,37680.00,4332.00
1969:Q3,96812.00,25892.00,19032.00,7628.00,49728.00,33177.00,10432.00,10760.00,14796.00,2268.00
1969:Q4,112212.00,51084.00,16240.00,7620.00,42180.00,27298.00,10400.00,8548.00,52268.00,2912.00
1970:Q1,85523.00,21747.00,12068.00,5195.00,47696.00,75618.00,7668.00,8412.00,17564.00,2688.00
1970:Q2,83595.00,311.00,4500.00,3231.00,59812.00,42384.00,10616.00,12856.00,21376.00,1756.00
1970:Q3,110095.00,29151.00,11624.00,6347.00,45576.00,26385.00,25740.00,9628.00,1100.00,2216.00
1970:Q4,92691.00,20219.00,16976.00,2943.00,41376.00,23405.00,13752.00,17344.00,29172.00,4572.00
1971:Q1,120237.00,48205.00,21820.00,18265.00,46956.00,30976.00,7584.00,17492.00,-7704.00,3856.00
1971:Q2,145497.00,28025.00,15840.00,11161.00,59392.00,31277.00,41360.00,16720.00,132.00,3984.00
1971:Q3,154085.00,50073.00,26784.00,15013.00,56168.00,34287.00,32820.00,15024.00,11792.00,5872.00
1971:Q4,139837.00,50649.00,31808.00,17893.00,43596.00,19298.00,29108.00,16484.00,42068.00,6528.00
1972:Q1,153046.00,65746.00,33808.00,16546.00,63512.00,44375.00,6100.00,17688.00,5732.00,5932.00
1972:Q2,143178.00,51578.00,25672.00,20738.00,71144.00,33182.00,7696.00,12760.00,24128.00,0.00
1972:Q3,160646.00,58218.00,35760.00,16938.00,66044.00,37119.00,24052.00,12332.00,16144.00,4676.00
1972:Q4,193682.00,64618.00,41152.00,23834.00,81820.00,42308.00,34172.00,13072.00,64472.00,7156.00
1973:Q1,224430.00,85854.00,43392.00,24978.00,102740.00,66898.00,21744.00,14092.00,5488.00,7712.00
1973:Q2,167374.00,46554.00,33056.00,25582.00,103876.00,72638.00,5928.00,11016.00,57948.00,8768.00
1973:Q3,182102.00,71194.00,36720.00,19286.00,99584.00,91502.00,-2376.00,13700.00,49904.00,-1112.00
1973:Q4,151226.00,53650.00,44704.00,19990.00,69088.00,72460.00,11020.00,17468.00,59320.00,9716.00
1974:Q1,175972.00,63000.00,40412.00,14340.00,94960.00,61975.00,400.00,17612.00,6496.00,6984.00
1974:Q2,191412.00,50252.00,33968.00,13472.00,112536.00,67916.00,14824.00,13800.00,62216.00,25896.00
1974:Q3,188764.00,64016.00,38364.00,9660.00,92076.00,49677.00,18396.00,14276.00,72140.00,7464.00
