1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q2,9439.00,-20162.00,39554.00,129080.00,94249.00,-4723.00,-35041.00,19914.00,54955.00,-24675.00,-21682.00,-22809.00,1127.00,8566.00,7276.00,3069.00,-1779.00,0.00,0.00,42717.00,5464328.00
1989:Q3,-7282.00,-42063.00,33317.00,128845.00,95637.00,-108.00,-38805.00,15460.00,54264.00,-36575.00,-28368.00,-29130.00,762.00,16581.00,14593.00,3532.00,-1543.00,0.00,0.00,46569.00,5457046.00
1989:Q4,-23997.00,-15340.00,37698.00,131665.00,97049.00,-3082.00,-33213.00,17442.00,50655.00,-19825.00,-40824.00,-40848.00,24.00,6073.00,14178.00,1974.00,700.00,-12861.00,-2081.00,26094.00,5433049.00
1990:Q1,-21091.00,-20001.00,35297.00,132889.00,98485.00,-893.00,-38048.00,11221.00,49269.00,-17250.00,-28620.00,-28255.00,-365.00,17248.00,13385.00,3240.00,621.00,1.00,0.00,10282.00,5411959.00
1990:Q2,18187.00,17227.00,38938.00,139378.00,99935.00,505.00,-9711.00,4960.00,14671.00,-12000.00,-27810.00,-28221.00,411.00,11308.00,7525.00,4343.00,-561.00,1.00,0.00,17462.00,5430145.00
1990:Q3,20665.00,6950.00,44443.00,138296.00,101402.00,-7549.00,-18993.00,68897.00,87890.00,-18500.00,-13941.00,-12223.00,-1718.00,29250.00,16442.00,4089.00,8717.00,1.00,0.00,-1594.00,5450811.00
1990:Q4,47463.00,22958.00,30765.00,128697.00,102887.00,-4955.00,7443.00,39412.00,31969.00,-15250.00,-12361.00,-13034.00,673.00,45066.00,21722.00,594.00,-337.00,22627.00,-461.00,-8201.00,5498274.00
1991:Q1,23789.00,8766.00,21008.00,128248.00,104381.00,2859.00,-10742.00,10235.00,20977.00,-1500.00,-28143.00,-29593.00,1450.00,18822.00,18631.00,6707.00,-6515.00,-1.00,0.00,24343.00,5522062.00
1991:Q2,41.00,39737.00,19683.00,127480.00,105646.00,2150.00,17054.00,29714.00,12660.00,3000.00,-30246.00,-30226.00,-20.00,42.00,-182.00,4315.00,-4090.00,-1.00,0.00,-9493.00,5522103.00
1991:Q3,-86484.00,29520.00,26162.00,133181.00,106675.00,344.00,-1392.00,48992.00,50384.00,4750.00,-108075.00,-108722.00,647.00,1162.00,-1162.00,2914.00,-589.00,-1.00,0.00,-9092.00,5435619.00
1991:Q4,-67186.00,52108.00,29398.00,136439.00,107467.00,-426.00,10710.00,-5923.00,-16633.00,12000.00,-104429.00,-105048.00,619.00,-8376.00,6452.00,-1952.00,491.00,-13964.00,-597.00,-6489.00,5368433.00
1992:Q1,-151461.00,16668.00,20765.00,129312.00,107993.00,554.00,-15597.00,113540.00,129137.00,11500.00,-67694.00,-67804.00,110.00,13344.00,15581.00,-2171.00,-66.00,0.00,0.00,-113779.00,5216972.00
1992:Q2,-29622.00,45176.00,32521.00,138623.00,108751.00,-2649.00,3656.00,9058.00,5402.00,9000.00,-68255.00,-67918.00,-337.00,6258.00,1208.00,3150.00,1900.00,0.00,0.00,-12802.00,5187350.00
1992:Q3,-47681.00,26825.00,32374.00,141236.00,109700.00,-838.00,-8549.00,4795.00,13344.00,3000.00,-76949.00,-77462.00,513.00,9556.00,5130.00,3039.00,1387.00,0.00,0.00,-7114.00,5139668.00
