1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,12290.00,12290.00,12290.00,21271.00,20512.00,759.00,-8981.00,440.00,-196.00,0.00,0.00,0.00,0.00,0.00,184.00,0.00,184.00,-20.00,472.00,396.00,76.00,0.00,9421.00,8547.00,812.00,563.00,7172.00,-1372.00,0.00,8.00,0.00,2238.00
1963:Q4,12403.00,12403.00,12403.00,22692.00,21143.00,1549.00,-10289.00,-1428.00,-84.00,0.00,0.00,0.00,0.00,0.00,1316.00,0.00,1316.00,-2944.00,284.00,268.00,16.00,0.00,8861.00,9623.00,2468.00,1127.00,6028.00,-4328.00,0.00,8.00,0.00,3558.00
1964:Q1,12540.00,12540.00,12540.00,22468.00,21860.00,608.00,-9928.00,1704.00,4.00,0.00,0.00,0.00,0.00,0.00,-1148.00,0.00,-1148.00,2452.00,396.00,376.00,20.00,0.00,11632.00,6745.00,516.00,1357.00,4872.00,2088.00,0.00,8.00,0.00,2791.00
1964:Q2,12685.00,12685.00,12685.00,21841.00,21802.00,39.00,-9156.00,592.00,116.00,0.00,0.00,0.00,0.00,0.00,552.00,0.00,552.00,-480.00,404.00,400.00,4.00,0.00,9748.00,9593.00,852.00,485.00,8256.00,-80.00,0.00,8.00,0.00,227.00
1964:Q3,12839.00,12839.00,12839.00,21534.00,21875.00,-341.00,-8695.00,1616.00,156.00,0.00,0.00,0.00,0.00,0.00,132.00,0.00,132.00,828.00,500.00,416.00,84.00,0.00,10311.00,9152.00,944.00,728.00,7480.00,-36.00,0.00,8.00,0.00,1187.00
1964:Q4,13010.00,13010.00,13010.00,22143.00,21892.00,251.00,-9133.00,-280.00,132.00,0.00,0.00,0.00,0.00,0.00,1368.00,0.00,1368.00,-2220.00,440.00,408.00,32.00,0.00,8853.00,7694.00,676.00,794.00,6224.00,-4196.00,0.00,8.00,0.00,5346.00
1965:Q1,13216.00,13216.00,13216.00,25048.00,22390.00,2658.00,-11832.00,1476.00,104.00,0.00,0.00,0.00,0.00,0.00,-1136.00,0.00,-1136.00,2084.00,424.00,392.00,32.00,0.00,13308.00,7736.00,1704.00,1224.00,4808.00,2328.00,0.00,8.00,0.00,3236.00
1965:Q2,13423.00,13423.00,13423.00,25537.00,22897.00,2640.00,-12114.00,-192.00,120.00,0.00,0.00,0.00,0.00,0.00,668.00,0.00,668.00,-1444.00,464.00,384.00,80.00,0.00,11922.00,10711.00,1472.00,439.00,8800.00,-532.00,0.00,8.00,0.00,1735.00
1965:Q3,13646.00,13646.00,13646.00,25793.00,23272.00,2521.00,-12147.00,1484.00,108.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,32.00,884.00,460.00,396.00,64.00,0.00,13631.00,9748.00,1312.00,532.00,7904.00,404.00,0.00,12.00,0.00,3467.00
1965:Q4,13890.00,13890.00,13890.00,26310.00,23982.00,2328.00,-12420.00,-200.00,84.00,0.00,0.00,0.00,0.00,0.00,1480.00,0.00,1480.00,-2228.00,464.00,436.00,28.00,0.00,12220.00,9110.00,1788.00,962.00,6360.00,-3512.00,0.00,12.00,0.00,6610.00
